Account Name,Address 1,Address 2,Phone,Shipping City,Shipping State/Province,Shipping Zip/Postal Code,Country,Latitude,Longitude,Category,Url,Description
Comfort Mobility Medical,12355 Hagen Ranch Rd. #601,,5618104715,Boynton Beach,Florida,33437,United States,26.492742,-80.165484,Dealer,www.comfortmob.com,Comfort Mobility Medical<br/>12355 Hagen Ranch Rd. #601<br/>www.comfortmob.com<br/>5618104715
Copper Star Medical - Mesa,1155 south Power Road,,(435) 730-3530,Mesa,Arizona,85206,United States,33.394685,-111.68406,Dealer,www.copperstarmedical.com,Copper Star Medical - Mesa<br/>1155 south Power Road<br/>www.copperstarmedical.com<br/>(435) 730-3530
Custom Mobility,7199 Bryan Dairy Road,,1-800-622-5151 ext.349,Largo,Florida,33777-1502,United States,27.872835,-82.737784,Dealer,custom-mobility.com,Custom Mobility<br/>7199 Bryan Dairy Road<br/>custom-mobility.com<br/>1-800-622-5151 ext.349
Dove Medical Supply,2172 Lawndale Dr.,,(336) 643-9367,Greensboro,North Carolina,27408,United States,36.096715,-79.816603,Dealer,https://www.mydovestore.com/,Dove Medical Supply<br/>2172 Lawndale Dr.<br/>https://www.mydovestore.com/<br/>(336) 643-9367
Dove Medical Supply,960 A S Main St,,(336) 643-9367,Kernersville,North Carolina,27284,United States,36.110005,-80.09572,Dealer,https://www.mydovestore.com/,Dove Medical Supply<br/>960 A S Main St<br/>https://www.mydovestore.com/<br/>(336) 643-9367
Dove Medical Supply,7301 Summerfield Rd,,(336) 643-9367,Summerfield,North Carolina,27358,United States,36.196845,-79.900685,Dealer,https://www.mydovestore.com/,Dove Medical Supply<br/>7301 Summerfield Rd<br/>https://www.mydovestore.com/<br/>(336) 643-9367
EV Mobility Inc,11206 Sandusky Ct,,540-846-4401,Fredericksburg,Virginia,22407,United States,38.265678,-77.572117,Dealer,Www.Goevmobility.com,EV Mobility Inc<br/>11206 Sandusky Ct<br/>Www.Goevmobility.com<br/>540-846-4401
EZ Living Concepts,1100 Lincoln Ave,,+1 610-583-9000,Prospect Park,Pennsylvania,19076,United States,39.88725,-75.309987,Dealer,https://ezlivingconcepts.com/,EZ Living Concepts<br/>1100 Lincoln Ave<br/>https://ezlivingconcepts.com/<br/>+1 610-583-9000
Freedom Mobility,7271 Park Circle Drive,,(240) 351-9645,Hanover,Maryland,21076,United States,39.17977,-76.733341,Dealer,http://www.freedommobilitysolutions.com,Freedom Mobility<br/>7271 Park Circle Drive<br/>http://www.freedommobilitysolutions.com<br/>(240) 351-9645
Gem Wheelchair and Scooter Service,176-39 Union Tpke,,(718) 969-8600,Flushing,New York,11366-1515,United States,40.725859,-73.792132,Dealer,http://gemwheelchairservice.com/,Gem Wheelchair and Scooter Service<br/>176-39 Union Tpke<br/>http://gemwheelchairservice.com/<br/>(718) 969-8600
Hawaiian Islands Medical,841 Pohukaina Street #8,,(808) 597-8087,Honolulu,Hawaii,96813,United States,21.29688,-157.85789,Dealer,himed.cc,Hawaiian Islands Medical<br/>841 Pohukaina Street #8<br/>himed.cc<br/>(808) 597-8087
Health Care Solutions Group,8031 Ridgeway Ave,,847-982-9880,Skokie,Illinois,60076,United States,42.027222,-87.721792,Dealer,https://www.hcsgi.com/,Health Care Solutions Group<br/>8031 Ridgeway Ave<br/>https://www.hcsgi.com/<br/>847-982-9880
Home Health Pavilion,5027 Route 9W,,(845) 569-1250,Newburgh,New York,12550,United States,41.521367,-74.021851,Dealer,http://www.homehealthpavilion.com,Home Health Pavilion<br/>5027 Route 9W<br/>http://www.homehealthpavilion.com<br/>(845) 569-1250
Knight Medical,802 S Lewis St,,(405) 743-1646,Stillwater,Oklahoma,74074,United States,36.113166,-97.057643,Dealer,,Knight Medical<br/>802 S Lewis St<br/><br/>(405) 743-1646
Letourneaus Pharmacy,349 N Main St,,(978) 475-7779,Andover,Massachusetts,01832,United States,42.672938,-71.15063,Dealer,https://letourneaus.net/,Letourneaus Pharmacy<br/>349 N Main St<br/>https://letourneaus.net/<br/>(978) 475-7779
Major's Medical Supply,809 W. New York Avenue,,(386) 822-9909,Deland,Florida,32720,United States,29.028242,-81.319335,Dealer,https://majorsmedical.net/,Major's Medical Supply<br/>809 W. New York Avenue<br/>https://majorsmedical.net/<br/>(386) 822-9909
Medfirst Homecare,27A Poplar St,,(201) 385-9700,East Rutherford,New Jersey,07073,United States,40.84044,-74.102162,Dealer,https://www.medfirsthomecare.com/,Medfirst Homecare<br/>27A Poplar St<br/>https://www.medfirsthomecare.com/<br/>(201) 385-9700
Medtech Services,555 Gentry Way,,1-775-826-2022,Reno,Nevada,89502-4612,United States,39.49562,-119.789882,Dealer,http://medtech-services.com,Medtech Services<br/>555 Gentry Way<br/>http://medtech-services.com<br/>1-775-826-2022
Minnesota Mobility Systems,301 Minnesota Avenue North,,612-710-0221,Aitkin,Minnesota,56431,United States,46.534566,-93.706814,Dealer,minnesotamobilityscooters.com,Minnesota Mobility Systems<br/>301 Minnesota Avenue North<br/>minnesotamobilityscooters.com<br/>612-710-0221
Mobility City - DuPage County,76 Eisenhower Ln N,,331-462-0144,Lombard,Illinois,60148,United States,41.841823,-88.022645,Dealer,Https://www.mobilitycitydupage.com,Mobility City - DuPage County<br/>76 Eisenhower Ln N<br/>Https://www.mobilitycitydupage.com<br/>331-462-0144
Mobility Lift Aids,"14655 Northwest Freeway, Suite 102",,832-795-3904,Houston,Texas,77040,United States,29.865125,-95.539681,Dealer,http://www.texaswheelchairvan.com/locations/houston-texas,"Mobility Lift Aids<br/>14655 Northwest Freeway, Suite 102<br/>http://www.texaswheelchairvan.com/locations/houston-texas<br/>832-795-3904"
Moving Around,15230 Surveyor Blvd,,8775813733 ext.120,Addison,Texas,75001,United States,32.957188,-96.846384,Dealer,,Moving Around<br/>15230 Surveyor Blvd<br/><br/>8775813733 ext.120
Mr. Wheelchair,1201 Jefferson Hwy. Suite A,,5048342850,Jefferson,Louisiana,70121,United States,29.962748,-90.142241,Dealer,www.mrwheelchair.com,Mr. Wheelchair<br/>1201 Jefferson Hwy. Suite A<br/>www.mrwheelchair.com<br/>5048342850
New Tech Mobility,3104 E Camelback Rd. #573,,(480) 868-9071,Phoenix,Arizona,85016,United States,33.510059,-112.015821,Dealer,http://www.newtechmobility.com,New Tech Mobility<br/>3104 E Camelback Rd. #573<br/>http://www.newtechmobility.com<br/>(480) 868-9071
New Tech Mobility,1696 Taft Street,,(720) 925-9160,Lakewood,Colorado,80215,United States,39.743298,-105.131544,Dealer,https://www.newtechmobility.com/,New Tech Mobility<br/>1696 Taft Street<br/>https://www.newtechmobility.com/<br/>(720) 925-9160
Next Day Access,"3150 Stage Post Dr, Ste 101",,(731) 267-2647,Bartlett,Tennessee,38133,United States,35.210986,-89.800189,Dealer,https://www.nextdayaccess.com/memphis-tn/,"Next Day Access<br/>3150 Stage Post Dr, Ste 101<br/>https://www.nextdayaccess.com/memphis-tn/<br/>(731) 267-2647"
Norco,"1303 S Silverstone Way,",,(208) 898-0202,Meridian,Idaho,83642,United States,43.592862,-116.350057,Dealer,https://www.norco-inc,"Norco<br/>1303 S Silverstone Way,<br/>https://www.norco-inc<br/>(208) 898-0202"
Norco,1877 NE 7th Ave,,(503) 288-8174,Portland,Oregon,97212,United States,45.536273,-122.659099,Dealer,www.norco-inc.com,Norco<br/>1877 NE 7th Ave<br/>www.norco-inc.com<br/>(503) 288-8174
National Seating & Mobility,"3417 Oakcliff Road, Suite 106",,(770) 452-1450,Doraville,Georgia,30340,United States,33.906631,-84.254354,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>3417 Oakcliff Road, Suite 106<br/>https://www.nsm-seating.com/<br/>(770) 452-1450"
National Seating & Mobility,"2211 Denton Drive, Suite J",,(512) 833-9956,Austin,Texas,78758,United States,30.386426,-97.716046,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>2211 Denton Drive, Suite J<br/>https://www.nsm-seating.com/<br/>(512) 833-9956"
National Seating & Mobility,"2747 Enterprise Ave, Suite 4",,(406) 696-3883,Billings,Montana,59102,United States,45.751429,-108.585202,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>2747 Enterprise Ave, Suite 4<br/>https://www.nsm-seating.com/<br/>(406) 696-3883"
National Seating & Mobility,19B Ransier Drive,,(716) 674-0783,West Seneca,New York,14224-2259,United States,42.849925,-78.744955,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>19B Ransier Drive<br/>https://www.nsm-seating.com/<br/>(716) 674-0783
National Seating & Mobility,800 Central Ave.,,(704) 333-8431,Charlotte,North Carolina,28204,United States,35.221028,-80.824046,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>800 Central Ave.<br/>https://www.nsm-seating.com/<br/>(704) 333-8431
National Seating & Mobility,"5444 East Avenue, Unit A",,(630) 495-3751,Countryside,Illinois,60525,United States,41.791305,-87.85956,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>5444 East Avenue, Unit A<br/>https://www.nsm-seating.com/<br/>(630) 495-3751"
National Seating & Mobility,306 E 5th Avenue,,(614) 781-1390,Columbus,Ohio,43201,United States,39.98693,-82.996955,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>306 E 5th Avenue<br/>https://www.nsm-seating.com/<br/>(614) 781-1390
National Seating & Mobility,12503 E. Euclid Drive Suite 60,,(720) 389-5212,Centennial,Colorado,80111-6400,United States,39.596113,-104.843793,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>12503 E. Euclid Drive Suite 60<br/>https://www.nsm-seating.com/<br/>(720) 389-5212
National Seating & Mobility,3936 NW Urbandale Drive,,(515) 270-1522,Urbandale,Iowa,50322,United States,41.631862,-93.758062,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>3936 NW Urbandale Drive<br/>https://www.nsm-seating.com/<br/>(515) 270-1522
National Seating & Mobility,1050 Stewart Ave Ste 120,,(516) 505-1200,Garden City,New York,11530-4888,United States,40.735524,-73.591453,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>1050 Stewart Ave Ste 120<br/>https://www.nsm-seating.com/<br/>(516) 505-1200
National Seating & Mobility,"1517 North Carrier Parkway, Suite 110",,(972) 206-7345,Grand Prairie,Texas,75050,United States,32.786164,-97.038827,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>1517 North Carrier Parkway, Suite 110<br/>https://www.nsm-seating.com/<br/>(972) 206-7345"
National Seating & Mobility,"153 Grace Drive, Suite A",,(877) 924-2477,Easley,South Carolina,29640,United States,34.831984,-82.516294,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>153 Grace Drive, Suite A<br/>https://www.nsm-seating.com/<br/>(877) 924-2477"
National Seating & Mobility,9494 Kirby Drive,,(713) 791-9080,Houston,Texas,77054,United States,29.667534,-95.41304,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>9494 Kirby Drive<br/>https://www.nsm-seating.com/<br/>(713) 791-9080
National Seating & Mobility,"1936 South Lynhurst Drive, Suite D",,(317) 487-0758,Indianapolis,Indiana,46421,United States,39.739217,-86.251551,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>1936 South Lynhurst Drive, Suite D<br/>https://www.nsm-seating.com/<br/>(317) 487-0758"
National Seating & Mobility,115 Hayfield Road Suite A,,(865) 560-1205,Knoxville,Tennessee,37922,United States,35.908686,-84.102771,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>115 Hayfield Road Suite A<br/>https://www.nsm-seating.com/<br/>(865) 560-1205
National Seating & Mobility,7665 Commercial Way Suite H,,(702) 565-5570,Henderson,Nevada,89011-6630,United States,36.050713,-115.022472,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>7665 Commercial Way Suite H<br/>https://www.nsm-seating.com/<br/>(702) 565-5570
National Seating & Mobility,"1545 Capital Drive Suite 105,",,(254) 721-8244,Carrollton,Texas,75006,United States,32.958346,-96.920134,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>1545 Capital Drive Suite 105,<br/>https://www.nsm-seating.com/<br/>(254) 721-8244"
National Seating & Mobility,1335 NW 98 Ct Suite 1,,(305) 262-3399,Miami,Florida,33192,United States,25.785611,-80.354221,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>1335 NW 98 Ct Suite 1<br/>https://www.nsm-seating.com/<br/>(305) 262-3399
National Seating & Mobility,10341 Hercules Road,,(989) 625-5061,Freeland,Michigan,48623,United States,43.514519,-84.117466,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>10341 Hercules Road<br/>https://www.nsm-seating.com/<br/>(989) 625-5061
National Seating & Mobility,"12020 West Feerick Street, Unit A",,(866) 248-0756,Wauwatosa,Wisconsin,53222,United States,43.086778,-88.061845,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>12020 West Feerick Street, Unit A<br/>https://www.nsm-seating.com/<br/>(866) 248-0756"
National Seating & Mobility,"854 Lakeside Dr., Suite B",,(251) 473-2725,Mobile,Alabama,36693,United States,30.651345,-88.128854,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>854 Lakeside Dr., Suite B<br/>https://www.nsm-seating.com/<br/>(251) 473-2725"
National Seating & Mobility,"1120 Elm Hill, Suite 170",,(615) 880-1819,Nashville,Tennessee,37210,United States,36.144094,-86.732126,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>1120 Elm Hill, Suite 170<br/>https://www.nsm-seating.com/<br/>(615) 880-1819"
National Seating & Mobility,12 Southville Rd,,(508) 875-1223,Southborough,Massachusetts,01772,United States,42.266457,-71.508376,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>12 Southville Rd<br/>https://www.nsm-seating.com/<br/>(508) 875-1223
National Seating & Mobility,151 Rockwell Road,,(860) 666-7500,Newington,Connecticut,06111,United States,41.659907,-72.733011,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>151 Rockwell Road<br/>https://www.nsm-seating.com/<br/>(860) 666-7500
National Seating & Mobility,3401 North May Ave.,,(405) 440-2400,Oklahoma city,Oklahoma,73112,United States,35.504263,-97.566258,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>3401 North May Ave.<br/>https://www.nsm-seating.com/<br/>(405) 440-2400
National Seating & Mobility,"725 West SR 434, Suite Q",,(407) 629-7845,Longwood,Florida,32750,United States,28.699688,-81.355587,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>725 West SR 434, Suite Q<br/>https://www.nsm-seating.com/<br/>(407) 629-7845"
National Seating & Mobility,"1957 Pioneer Road, Building C",,(215) 682-9760,Huntingdon Valley,Pennsylvania,19006,United States,40.162045,-75.066835,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>1957 Pioneer Road, Building C<br/>https://www.nsm-seating.com/<br/>(215) 682-9760"
National Seating & Mobility,730 Vista Park Drive,,(800) 500-2429,Pittsburgh,Pennsylvania,15205,United States,40.434351,-80.136049,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>730 Vista Park Drive<br/>https://www.nsm-seating.com/<br/>(800) 500-2429
National Seating & Mobility,5320 Power Inn Rd,,(916) 383-8501,Sacramento,California,95820,United States,38.528987,-121.409298,Dealer,https://www.nsm-seating.com/,National Seating & Mobility<br/>5320 Power Inn Rd<br/>https://www.nsm-seating.com/<br/>(916) 383-8501
National Seating & Mobility,"1190 Dell Avenue, Unit L",,(408) 920-0390,Campbell,California,95008,United States,37.269065,-121.95177,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>1190 Dell Avenue, Unit L<br/>https://www.nsm-seating.com/<br/>(408) 920-0390"
National Seating & Mobility,"6501 Angola Road, Unit P",,(419) 867-6857,Toledo,Ohio,43528,United States,41.623593,-83.696013,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>6501 Angola Road, Unit P<br/>https://www.nsm-seating.com/<br/>(419) 867-6857"
National Seating & Mobility,"7420 Fullerton Road, Suite 100",,(703) 370-5790,Springfield,Virginia ,22153,United States,38.742132,-77.19968,Dealer,https://www.nsm-seating.com/,"National Seating & Mobility<br/>7420 Fullerton Road, Suite 100<br/>https://www.nsm-seating.com/<br/>(703) 370-5790"
Penn-York Medical Supplies,69 Main Street,,607-773-3622,Binghamton,New York,13905,United States,42.099348,-75.922194,Dealer,http://www.penn-yorkmedical.com/,Penn-York Medical Supplies<br/>69 Main Street<br/>http://www.penn-yorkmedical.com/<br/>607-773-3622
Quality Home Medical Equipment,273 Manufacturers Drive,,734-721-4821,Westland,Michigan,48186,United States,42.30962,-83.404697,Dealer,,Quality Home Medical Equipment<br/>273 Manufacturers Drive<br/><br/>734-721-4821
R&J Mobility Service,200 Hawthorne Ave. SE,,(503) 838-5520,Salem,Oregon,97301,United States,44.927386,-122.991943,Dealer,https://www.rjmobilityservice.com/,R&J Mobility Service<br/>200 Hawthorne Ave. SE<br/>https://www.rjmobilityservice.com/<br/>(503) 838-5520
Rehab and Mobility Systems,"11395 North Saginaw Street, Ste 11",,(800) 655-4920,Clio,Michigan,48420,United States,43.171051,-83.711916,Dealer,www.rehabandmobilitysystems.com,"Rehab and Mobility Systems<br/>11395 North Saginaw Street, Ste 11<br/>www.rehabandmobilitysystems.com<br/>(800) 655-4920"
Rehab and Mobility Systems,707 Parsons Road,,(800) 655-4920,Traverse City,Michigan,49686,United States,44.751197,-85.577119,Dealer,www.rehabandmobilitysystems.com,Rehab and Mobility Systems<br/>707 Parsons Road<br/>www.rehabandmobilitysystems.com<br/>(800) 655-4920
Relax the Back,2020 Glen Echo Rd.,,(615) 460-0004,Nashville,Tennessee,37215,United States,36.108534,-86.811065,Dealer,https://stores.relaxtheback.com/nashville-south,Relax the Back<br/>2020 Glen Echo Rd.<br/>https://stores.relaxtheback.com/nashville-south<br/>(615) 460-0004
Restoring Mobility,1324 E. Common St. #304,,8306260051,New Braunfels,Texas,78130,United States,29.721361,-98.101078,Dealer,Restoringmob.com,Restoring Mobility<br/>1324 E. Common St. #304<br/>Restoringmob.com<br/>8306260051
Sherman Oaks Medical Supplies,4840 Van Nuys Blvd,,(818) 981-9906,Sherman Oaks,California,91403,United States,34.158823,-118.448497,Dealer,http://www.shermanoaksmedical.com,Sherman Oaks Medical Supplies<br/>4840 Van Nuys Blvd<br/>http://www.shermanoaksmedical.com<br/>(818) 981-9906
Stuarts Medical,6880 Commercial Drive #38,,571-721-8012,Springfield,Virginia,22151,United States,38.801456,-77.182517,Dealer,https://www.stuartsmedical.com/,Stuarts Medical<br/>6880 Commercial Drive #38<br/>https://www.stuartsmedical.com/<br/>571-721-8012
The Center for Independent Living,"2490 Mariners Square Loop, Ste 210",,(510) 841-4776,Alameda,California,94501,United States,37.788038,-122.276384,Dealer,https://www.thecil.org/,"The Center for Independent Living<br/>2490 Mariners Square Loop, Ste 210<br/>https://www.thecil.org/<br/>(510) 841-4776"
The Healthcare Store,944 Melbourne Rd.,,817-589-1110,Hurst,Texas,76053,United States,32.825971,-97.197855,Dealer,thehealthcarestore.com,The Healthcare Store<br/>944 Melbourne Rd.<br/>thehealthcarestore.com<br/>817-589-1110
Treasure Coast Mobility,132 SW Monterey Road,,(772) 692-4245,Stuart,Florida,34994,United States,27.175312,-80.25466,Dealer,http://www.tcmobilityvans.com/,Treasure Coast Mobility<br/>132 SW Monterey Road<br/>http://www.tcmobilityvans.com/<br/>(772) 692-4245
U2 Mobility,850 E. Parkridge Ave #107,,(951) 898-0888,Corona,California,92879,United States,33.886329,-117.549498,Dealer,www.u2mobility.com,U2 Mobility<br/>850 E. Parkridge Ave #107<br/>www.u2mobility.com<br/>(951) 898-0888
Valley Medical Supplies,"2640 E. Rose Garden Ln., #5",,(602) 900-5246,Phoenix,Arizona,85050,United States,33.676995,-112.030437,Dealer,valleymedicalsupplies.com,"Valley Medical Supplies<br/>2640 E. Rose Garden Ln., #5<br/>valleymedicalsupplies.com<br/>(602) 900-5246"
